"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WESD","WESF"
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-01",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-02",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-03",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-04",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-05",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-06",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-07",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-08",,,"0.23","1.0","1.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-09",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-10",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-11",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-12",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-13",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-14",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-15",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-16",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-17",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-18",,,"0.01","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-19",,,"0.01","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-20",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-21",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-22",,,"0.00",,,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-23",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-24",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-25",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-26",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-27",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-28",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-29",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-30",,,"0.01","0.1","0.1",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-01-31",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-01",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-02",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-03",,,"0.02","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-04",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-05",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-06",,,"0.26","7.2",,,,,,,"0.6"
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-07",,,"0.14","4.5","10.5",,,,,"0.8","0.3"
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-08",,,"0.02","0.4","10.0",,,,,"0.8",
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-09",,,"0.03","1.0","8.0",,,,,,"0.1"
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-10",,,"0.01","0.5","8.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-11",,,"0.04","1.0","8.0",,,,,,"0.1"
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-12",,,"0.00","0.0","7.5",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-13",,,"0.00","0.0","8.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-14",,,"0.00","0.0","7.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-15",,,"0.00","0.0","7.0",,,,,"1.0",
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-16",,,"0.02","0.5","7.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-17",,,"0.02","0.0","7.5",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-18",,,"0.02","0.2","7.5",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-19",,,"0.00","0.0","7.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-20",,,"0.00","0.0","6.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-21",,,"0.00","0.0","6.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-22",,,"0.00","0.0","5.0",,,,,"1.0",
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-23",,,"0.16",,"1.5",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-24",,,"0.00","0.0","1.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-25",,,"0.02",,"0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-26",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-27",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-02-28",,,"0.01","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-01",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-02",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-03",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-04",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-05",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-06",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-07",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-08",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-09",,,"0.01","0.1",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-10",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-11",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-13","    2","0.00",,,"0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-14",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-15",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-16",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-17",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-18",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-19",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-20",,,"0.03","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-21",,,"0.71","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-22",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-23",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-24",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-25",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-26",,,"0.02","0.1",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-27",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-28",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-29",,,"0.01","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-30",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-03-31",,,"0.00","0.0",,,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-01",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-02",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-03",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-04",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-05",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-06",,,"0.01","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-07",,,"0.15","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-08",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-09",,,"0.08","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-10",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-11",,,"0.06","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-12",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-13",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-14",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-15",,,"0.00","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-16",,,"0.04","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-17",,,"0.02","0.0","0.0",,,,,,
"US1MTYS0005","BILLINGS 2.8 WNW, MT US","2021-04-18",,,"0.00","0.0","0.0",,,,,,
